,WFBN_INFO_1_matrix_1,WFBN_INFO_1_matrix_2,WFBN_tal_2_matrix_1,WFBN_tal_2_matrix_2,WFBN_tal_2_matrix_3,WFBN_advnet_5_matrix_1,WFBN_advnet_5_matrix_2,WFBN_advnet_5_matrix_3,Bhea_Orgres_1_matrix_1,Bhea_Orgres_1_matrix_2,Bhea_Orgres_1_matrix_3,Bhea_Orgres_1_matrix_4,Bhea_Orgres_1_matrix_5,Bhea_Opres_2_matrix_1,Bhea_Opres_2_matrix_2,Bhea_Opres_2_matrix_3,Bhea_Opres_5_matrix_1,Bhea_Opres_5_matrix_2,Bhea_Opres_5_matrix_3,Tech_rc_1_matrix_1,Tech_rc_1_matrix_2,Tech_rc_1_matrix_3,Tech_rc_2_matrix_1,Tech_rc_2_matrix_2,Adapt_main_1_matrix_1,Adapt_main_1_matrix_2,Adapt_main_1_matrix_3,Adapt_main_1_matrix_4,Mind_Creat_1_matrix_1,Mind_Creat_1_matrix_2,Mind_Creat_1_matrix_3,Mind_Trust_2_matrix_1,Mind_Trust_2_matrix_2,Mind_Trust_2_matrix_3,Mind_Hope_3_matrix_1,Mind_Hope_3_matrix_2,Mind_Hope_3_matrix_3,Mind_belon_4_matrix_1,Mind_belon_4_matrix_2,Mind_belon_4_matrix_3,Mind_belon_4_matrix_4,Mind_FO_5_matrix_1,Mind_FO_5_matrix_2,V2_Econ_Condition,Recoded_Sales
1,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,-2.0,-4.0
2,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0,1.0,4.0,4.0,5.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,3.0
4,3.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,5.0,1.0,5.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,0.0
5,3.0,4.0,3.0,4.0,2.0,4.0,4.0,1.0,5.0,1.0,3.0,3.0,5.0,4.0,3.0,1.0,2.0,4.0,3.0,5.0,4.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0
6,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,-1.0,3.0
7,5.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,-1.0,-3.0
9,5.0,4.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,1.0,4.0
10,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,-2.0,-3.0
11,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,1.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,-1.0,0.0
12,4.0,4.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,-1.0,1.0
